,0,1,2,3,4,y,m
30,21,"р. Надым, г. Надым",Ямало-Ненецкий АО,Ионы железа общего,58.0,2010,02
31,22,"р. Нейва,  | г. Невьянск",Свердловская область,Ионы марганца,63.0,2010,02
33,24,"р. Обва,  | п. Рождественск",Пермский край,Взвешенные вещества,99.0,2010,02
34,25,"р. Омь, г. Калачинск",Омская область,Ионы марганца,87.0,2010,02
39,27,"р. Патрушиха,  | г. Екатеринбург",Свердловская область,Ионы марганца,80.0,2010,02
40,28,"р. Пур, п. Самбург",Ямало-Ненецкий АО,Ионы железа общего,86.0,2010,02
41,29,"р. Пур, п. Уренгой",Ямало-Ненецкий АО,Ионы марганца,103.0,2010,02
42,30,"р. Пышма,  | г. Березовский",Свердловская область,Ионы марганца,110.0,2010,02
43,31,"р. Пышма,  | пгт. Богандинский",Тюменская область,Ионы марганца,61.0,2010,02
44,32,"р. Пяку-Пур,  | п. Тарко-Сале",Ямало-Ненецкий АО,Ионы марганец,76.0,2010,02
45,33,"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,348.0,2010,02
47,34,"р. Тавда, г. Тавда",Свердловская область,Ионы марганца,57.0,2010,02
49,35,"р. Теча,  | с. Першинское",Курганская область,Ионы марганца,68.0,2010,02
50,36,"р. Тобол,  | с. Зверино-головское",Курганская область,Ионы марганца,130.0,2010,02
51,37,"р. Тура, г. Тюмень",Тюменская область,Ионы марганца,97.0,2010,02
53,38,"р. Тура,  | д. Тимофеево",Свердловская область,Ионы марганца,59.0,2010,02
54,39,"р. Тура, с. Салаирка",Тюменская область,Ионы марганца,68.0,2010,02
55,40,"р. Уй,  | с. Усть-Уйское",Курганская область,Ионы марганца,140.0,2010,02
56,41,"р. Ук,  | г. Заводоуковск",Тюменская область,Ионы марганца,161.0,2010,02
57,42,"р. Чапаевка,  | г. Чапаевск",Самарская область,Ионы марганца,124.0,2010,02
58,43,"р. Чусовая,  | г. Чусовой",Свердловская область,Взвешенные вещества,57.0,2010,02
59,44,"руч. Варничный,  | г. Мурманск",Мурманская область,БПК | 5,63.0,2010,02
