obj,loc,p,v,y,m,lat,lon
"р.Кизел, г.Кизел в районе автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,1010.0,2008,11,58.296433301115215,56.226613423791875
р. Вильва в районе автодо-рожного моста трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,88.0,2008,12,58.296433301115215,56.226613423791875
"р. Кизел, г. Кизел у автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,1050.0,2008,12,58.296433301115215,56.226613423791875
"р. Сев. Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,226.0,2008,12,58.296433301115215,56.226613423791875
р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,308.0,2009,1,58.296433301115215,56.226613423791875
"р. Кизел, г. Кизел в районе автодорожного моста Губаха-Александровск",Пермский край,Ионы железа общего,2990.0,2009,1,58.296433301115215,56.226613423791875
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,99.0,2009,1,58.296433301115215,56.226613423791875
"р. Северная Вильва, |  п. Всеволодо-Вильва",Пермский край,Ионы железа общего,321.0,2009,1,58.296433301115215,56.226613423791875
р. Вильва  в районе автодорожного моста Чусовой-Губаха,Пермский край,Ионы железа общего,339.0,2009,2,58.296433301115215,56.226613423791875
"р. Косьва,  | г. Губаха",Пермский край,Ионы железа общего,141.0,2009,2,58.296433301115215,56.226613423791875
"р. Лысьва,  | г. Лысьва",Пермский край,Взвешенные вещества,69.0,2009,2,58.296433301115215,56.226613423791875
"р. Северная Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,389.0,2009,2,58.296433301115215,56.226613423791875
"р. Сылва,  | г. Кунгур",Пермский край,Взвешенные вещества,55.0,2009,2,58.296433301115215,56.226613423791875
р. Вильва в районе автодорожного моста Чусовой -Губаха,Пермский край,Ионы железа общего,382.0,2009,3,58.296433301115215,56.226613423791875
"р. Кизел, г. Кизел, в районе автодорожного моста Губаха -Александровск",Пермский край,Ионы железа общего,2690.0,2009,3,58.296433301115215,56.226613423791875
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,293.0,2009,3,58.296433301115215,56.226613423791875
"р. Сылва, г. Кунгур",Пермский край,Взвешенные вещества,59.0,2009,3,58.296433301115215,56.226613423791875
"р. Кама,  | г. Чайковский",Пермский край,Взвешенные вещества,89.0,2009,11,58.296433301115215,56.226613423791875
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,53.0,2009,11,58.296433301115215,56.226613423791875
"р. Лысьва, г. Лысьва",Пермский край,Взвешенные вещества,80.0,2009,11,58.296433301115215,56.226613423791875
"р. Велва, д. Ошиб",Пермский край,Взвешенные вещества,67.0,2010,2,58.296433301115215,56.226613423791875
р. Вильва в районе автодорожного моста Чусовой - Губаха,Пермский край,Ионы железа общего,199.0,2010,2,58.296433301115215,56.226613423791875
"р. Иньва,  | г. Кудымкар",Пермский край,Взвешенные вещества,82.0,2010,2,58.296433301115215,56.226613423791875
"р. Иньва, д. Слудка",Пермский край,Взвешенные вещества,80.0,2010,2,58.296433301115215,56.226613423791875
"р. Кизел, г. Кизел в районе автодорожного моста  Губаха - Александровск",Пермский край,Ионы железа общего,4690.0,2010,2,58.296433301115215,56.226613423791875
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,85.0,2010,2,58.296433301115215,56.226613423791875
"р. Косьва, д. Кунья",Пермский край,Взвешенные вещества,96.0,2010,2,58.296433301115215,56.226613423791875
"р. Лысьва, устье",Пермский край,Взвешенные вещества,62.0,2010,2,58.296433301115215,56.226613423791875
"р. Обва,  | п. Рождественск",Пермский край,Взвешенные вещества,99.0,2010,2,58.296433301115215,56.226613423791875
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,348.0,2010,2,58.296433301115215,56.226613423791875
р. Вильва - автодорожный мост трассы гг. Чусовой-Губаха,Пермский край,Ионы железа общего,468.0,2010,3,58.296433301115215,56.226613423791875
"р. Кизел, г. Кизел (мост а/д Губаха-Александровск)",Пермский край,Ионы железа общего,3150.0,2010,3,58.296433301115215,56.226613423791875
"р. Косьва, г. Губаха",Пермский край,Ионы железа общего,55.0,2010,3,58.296433301115215,56.226613423791875
"р. Сев. Вильва,  | п. Всеволодо-Вильва",Пермский край,Ионы железа общего,630.0,2010,3,58.296433301115215,56.226613423791875
"р. Быстрый Танып,  | г. Чернушка",Пермский край,Взвешенные вещества,89.0,2010,4,58.296433301115215,56.226613423791875
р. Вильва в районе автодорожного моста на трассе Чусовой-Губаха,Пермский край,Ионы железа общего,54.0,2010,4,58.296433301115215,56.226613423791875
"р. Кама,  | г. Соликамск",Пермский край,Взвешенные вещества,75.0,2010,4,58.296433301115215,56.226613423791875
"р. Кизел, г. Кизел в районе автодо-рожного моста Губаха-Александровск",Пермский край,Ионы железа общего,525.0,2010,4,58.296433301115215,56.226613423791875
"р. Косьва, г. Губаха",Пермский край,Взвешенные вещества,54.0,2010,4,58.296433301115215,56.226613423791875
