obj,loc,p,v,y,m
"р. Лая, 21.1 км выше устья,  | г. Красноуральск",Свердловская область,Ионы меди,64.0,2010,4
"р. Нюдуай,  | г. Мончегорск",Мурманская область,Ионы меди,142.0,2010,4
"р. Хауки-Лампи-Йоки, г. Заполярный",Мурманская область,Ионы меди,82.0,2010,4
"вдхр. Аргазинское,  | г. Карабаш",Челябинская область,Ионы марганца,115.0,2010,4
"вдхр. Курганское,  | г. Курган",Курганская область,Ионы марганца,56.0,2010,4
"оз. Бутырино,  | с. Бутырино",Челябинская область,Взвешенные вещества,79.0,2010,4
пруд Новый Байкал с. Новая Вязовка ,Самарская область,Ионы марганца,61.0,2010,4
"р. Айва, 18,6 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,59.0,2010,4
"р. Айва, 22.9 км выше устья,  | г. Красноуральск",Свердловская область,Ионы марганца,61.0,2010,4
"р. Аргунь,  | пос. Молоканка",Забайкальский край,Ионы марганца,126.0,2010,4
"р. Аргунь, протока Прорва,  | пос. Молоканка",Забайкальский край,Азот нитритов,51.0,2010,4
"р. Аргунь, с. Олочи",Забайкальский край,Ионы марганца,76.0,2010,4
"р. Аргунь, с. Кути",Забайкальский край,Ионы марганца,129.0,2010,4
"р. Березовая,  | с. Федоровка",Хабаровский край,Азот аммонийный,61.0,2010,4
"р. Быстрый Танып,  | г. Чернушка",Пермский край,Взвешенные вещества,89.0,2010,4
"р. Вагай, с. Вагай",Тюменская область,Ионы марганца,171.0,2010,4
р. Вильва в районе автодорожного моста на трассе Чусовой-Губаха,Пермский край,Ионы железа общего,54.0,2010,4
"р. Ельцовка-1,  | г. Новосибирск",Новосибирская область,Ионы марганца,84.0,2010,4
"р. Иж, г. Ижевск",Удмуртская Республика,Взвешенные вещества,57.0,2010,4
"р. Ирбит, г. Ирбит",Свердловская область,Взвешенные вещества,217.0,2010,4
"р. Иртыш, г. Омск",Омская область,Ионы марганца,55.0,2010,4
"р. Исеть, 522,3 км выше устья, | п. Двуреченск",Свердловская область,Взвешенные вещества,148.0,2010,4
"р. Исеть, 523.8 км выше устья,  | п. Двуреченск",Свердловская область,Взвешенные вещества,161.0,2010,4
"р. Исеть,  | г. Екатеринбург",Свердловская область,Взвешенные вещества,85.0,2010,4
"р. Исеть,  | г. Каменск-Уральский",Свердловская область,Взвешенные вещества,404.0,2010,4
"р. Исеть,  | д. Колюткино",Свердловская область,Взвешенные вещества,158.0,2010,4
"р. Иска,  | с. Велижаны",Тюменская область,Ионы марганца,276.0,2010,4
"р. Кама,  | г. Соликамск",Пермский край,Взвешенные вещества,75.0,2010,4
"р. Кизел, г. Кизел в районе автодо-рожного моста Губаха-Александровск",Пермский край,Ионы железа общего,525.0,2010,4
"р. Косьва, г. Губаха",Пермский край,Взвешенные вещества,54.0,2010,4
"р. Кунара,  | г. Богданович",Свердловская область,Взвешенные вещества,67.0,2010,4
"р. Лоза, с. Игра",Удмуртская Республика,Взвешенные вещества,270.0,2010,4
"р. Надым, г. Надым",Тюменская область,Ионы железа общего,59.0,2010,4
